TapahtumaID,Keskuksen nimi,Keskuksen perustamisvuosi,Hoitajan nimi,Eläin,Eläimen lempilelut1, Eläimen lempilelut2,Eläimen lempilelut3,Eläimen ikä,Toimenpide,Toimenpiteen pvm,Hoitajan palkka,Eläimen kiinniottopaikka,Kiinniottopvm,Eläimen laji,Keskuksen osoite
1,Tampereen pelastus,1918,Ninni,Kaarlo,,,,2,Lääkkeen anto,28-6-2000,4640,Katu,4-1-1995,Koira,Tampereentie 5
2,Raaseporin rescue,1983,Untamo,Eazy,,,,1,Leikkihetki,10-3-1976,3814,Roskis,15-2-1990,Koira,Keskusta 2
3,Tampereen pelastus,1918,Ninni,Kaarlo,,,,2,Lääkkeen anto,8-9-1984,4640,Katu,4-1-1995,Koira,Tampereentie 5
4,Turun RescueKeskus,1904,Kaapo,Kaarina,,,,3,Leikkihetki,7-2-1999,1875,Sillanalus,26-8-1971,Undulaatti,Pelastustie 4
5,Raaseporin rescue,1983,Harju,Edgar,Köysi,Vinkulelu,Tennispallo,10,Lääkkeen anto,11-3-1990,4206,Katu,2-2-1997,Koira,Keskusta 2
6,Raaseporin rescue,1983,Lauri,Edgar,Köysi,Vinkulelu,Tennispallo,10,Lääkkeen anto,11-3-1990,2420,Katu,2-2-1997,Koira,Keskusta 2
7,Raaseporin rescue,1983,Harju,Eddi,Köysi,Vinkulelu,Tennispallo,10,Piikitys,22-4-1980,4206,Sillanalus,26-3-1993,Undulaatti,Keskusta 2
8,Raaseporin rescue,1983,Harju,Ecco,Tennispallo,Köysi,Vinkulelu,8,Tarkistus,5-3-1971,4206,Sillanalus,25-12-1973,Koira,Keskusta 2
9,Raaseporin rescue,1983,Lauri,Kaarina,Köysi,,,8,Lääkkeen anto,25-5-1972,2420,Kauppakeskus,16-4-1986,Kissa,Keskusta 2
10,Tampereen pelastus,1918,Jaakko,Kadi,Köysi,,,3,Lääkkeen anto,7-2-2000,1633,Kauppakeskus,1-6-1996,Undulaatti,Tampereentie 5
11,Turun RescueKeskus,1904,Eevertti,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,6-7-1970,1722,Roskis,26-10-1988,Undulaatti,Pelastustie 4
12,Raaseporin rescue,1983,Mirjami,Ecco,Tennispallo,,,4,Lääkkeen anto,26-5-1998,3111,,,Undulaatti,Keskusta 2
13,Tampereen pelastus,1918,Jaakko,Kaabo,,,,9,Lääkkeen anto,2-11-1991,4724,Katu,2-7-1982,Kissa,Tampereentie 5
14,Raaseporin rescue,1983,Harju,Edgar,Köysi,Vinkulelu,Tennispallo,10,Leikkihetki,8-7-2000,4206,Katu,2-2-1997,Koira,Keskusta 2
15,Turun RescueKeskus,1904,Kaapo,Edge,,,,10,Piikitys,20-4-1986,1875,Kauppakeskus,25-9-1971,Koira,Pelastustie 4
16,Turun RescueKeskus,1904,Kaapo,Ecco,,,,7,Piikitys,3-9-1995,1875,Roskis,22-10-1975,Undulaatti,Pelastustie 4
17,Tampereen pelastus,1918,Lauri,Edge,Tennispallo,Köysi,Vinkulelu,4,Tarkistus,14-4-1982,3436,Roskis,28-1-1996,Koira,Tampereentie 5
18,Raaseporin rescue,1983,Olli,Eddy,Tennispallo,Vinkulelu,,6,Lääkkeen anto,21-1-1970,3197,Kauppakeskus,13-8-1992,Undulaatti,Keskusta 2
19,Turun RescueKeskus,1904,Kaapo,Edgar,Köysi,,,4,Lääkkeen anto,26-3-1974,1785,Roskis,4-1-1999,Undulaatti,Pelastustie 4
20,Tampereen pelastus,1918,Matti,Kafu,Tennispallo,Vinkulelu,Köysi,8,Tarkistus,23-12-1982,2646,Roskis,18-9-1977,Kissa,Tampereentie 5
21,Tampereen pelastus,1918,Ninni,Eddy,Tennispallo,Vinkulelu,,6,Leikkihetki,10-4-1970,4640,Kauppakeskus,13-8-1992,Undulaatti,Tampereentie 5
22,Tampereen pelastus,1918,Jaakko,Edgar,Köysi,,,4,Tarkistus,7-3-1998,4724,Roskis,4-1-1999,Undulaatti,Tampereentie 5
23,Turun RescueKeskus,1904,Lauri,Ecko,Tennispallo,,,2,Leikkihetki,7-2-1995,1662,Sillanalus,14-2-1993,Kissa,Pelastustie 4
24,Raaseporin rescue,1983,Lauri,Kaapo,Vinkulelu,,,9,Lääkkeen anto,10-10-1996,2420,Sillanalus,7-2-1996,Koira,Keskusta 2
25,Tampereen pelastus,1918,Lauri,Kaasu,Vinkulelu,,,8,Leikkihetki,12-7-1980,3436,Roskis,24-12-1970,Koira,Tampereentie 5
26,Raaseporin rescue,1983,Lauri,Kaarina,Köysi,,,8,Lääkkeen anto,8-12-1979,2420,Kauppakeskus,16-4-1986,Kissa,Keskusta 2
27,Turun RescueKeskus,1904,Kaapo,Edgar,Köysi,Vinkulelu,Tennispallo,10,Leikkihetki,8-7-2000,1785,Katu,2-2-1997,Koira,Pelastustie 4
28,Raaseporin rescue,1983,Olli,Eddie,Tennispallo,Vinkulelu,,8,Leikkihetki,21-6-1995,3197,Kauppakeskus,10-5-1979,Undulaatti,Keskusta 2
29,Tampereen pelastus,1918,Jaakko,Ebba,,,,8,Piikitys,2-1-1984,4724,,,Kissa,Tampereentie 5
30,Tampereen pelastus,1918,Jaakko,Kaapo,Vinkulelu,,,9,Tarkistus,13-6-1998,1633,Sillanalus,7-2-1996,Koira,Tampereentie 5
31,Raaseporin rescue,1983,Olli,Eddie,Tennispallo,Vinkulelu,,8,Piikitys,4-1-2000,3197,Kauppakeskus,10-5-1979,Undulaatti,Keskusta 2
32,Turun RescueKeskus,1904,Lauri,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,9-4-1996,1662,Roskis,19-6-1988,Koira,Pelastustie 4
33,Turun RescueKeskus,1904,Kaapo,Eddy,,,,10,Piikitys,7-1-1976,1875,Sillanalus,27-11-1995,Koira,Pelastustie 4
34,Raaseporin rescue,1983,Untamo,Ecco,,,,10,Piikitys,9-7-1981,3814,Katu,13-5-1991,Kissa,Keskusta 2
35,Turun RescueKeskus,1904,Eevertti,Kadet,Vinkulelu,Köysi,Tennispallo,8,Leikkihetki,17-1-1998,1722,Katu,8-4-1989,Kissa,Pelastustie 4
36,Tampereen pelastus,1918,Lauri,Kaasu,Vinkulelu,,,8,Leikkihetki,14-10-1975,3436,Roskis,24-12-1970,Koira,Tampereentie 5
37,Raaseporin rescue,1983,Untamo,Ecco,,,,10,Tarkistus,22-6-2000,3814,Katu,13-5-1991,Kissa,Keskusta 2
38,Tampereen pelastus,1918,Jaakko,Kafu,Tennispallo,Köysi,,7,Tarkistus,15-5-1993,1633,Kauppakeskus,15-4-1987,Kissa,Tampereentie 5
39,Raaseporin rescue,1983,Untamo,Eazy,,,,1,Leikkihetki,18-10-1978,3814,Roskis,15-2-1990,Koira,Keskusta 2
40,Raaseporin rescue,1983,Olli,Eddi,Tennispallo,Köysi,Vinkulelu,3,Lääkkeen anto,13-12-1990,3197,Katu,4-12-1976,Koira,Keskusta 2
41,Turun RescueKeskus,1904,Kaapo,Kaarina,,,,3,Tarkistus,16-6-1996,1875,Sillanalus,26-8-1971,Undulaatti,Pelastustie 4
42,Turun RescueKeskus,1904,Eevertti,Easy,Tennispallo,Vinkulelu,,5,Lääkkeen anto,23-8-1983,1722,Katu,7-5-1983,Kissa,Pelastustie 4
43,Turun RescueKeskus,1904,Eevertti,Kadi,Köysi,,,3,Lääkkeen anto,4-8-1983,1722,Kauppakeskus,1-6-1996,Undulaatti,Pelastustie 4
44,Turun RescueKeskus,1904,Kaapo,Kaarlo,Vinkulelu,Tennispallo,,1,Tarkistus,3-12-1997,1875,Sillanalus,28-6-1980,Koira,Pelastustie 4
45,Raaseporin rescue,1983,Olli,Eddy,Tennispallo,Vinkulelu,,6,Lääkkeen anto,5-10-1985,3197,Kauppakeskus,13-8-1992,Undulaatti,Keskusta 2
46,Turun RescueKeskus,1904,Eevertti,Easy,Tennispallo,Vinkulelu,,5,Leikkihetki,28-12-1994,1722,Katu,7-5-1983,Kissa,Pelastustie 4
47,Turun RescueKeskus,1904,Eevertti,Kadi,Köysi,,,3,Piikitys,28-12-1972,1722,Kauppakeskus,1-6-1996,Undulaatti,Pelastustie 4
48,Raaseporin rescue,1983,Mirjami,Edda,Vinkulelu,Tennispallo,Köysi,2,Tarkistus,8-8-1986,3111,Katu,5-1-1971,Koira,Keskusta 2
49,Turun RescueKeskus,1904,Jaakko,Eazy,Tennispallo,Vinkulelu,Köysi,5,Tarkistus,27-10-1982,1422,Sillanalus,9-2-1979,Undulaatti,Pelastustie 4
50,Turun RescueKeskus,1904,Lauri,Ebony,Köysi,Vinkulelu,Tennispallo,8,Piikitys,6-8-1997,1662,Roskis,19-6-1988,Koira,Pelastustie 4
